gen,kind,idx,fit,wins,ties,margin,sigma
7,child,21,9517,1,0,-483,0.2931570577249145
7,child,22,-428,0,0,-428,0.2931570577249145
7,child,23,-548,0,0,-548,0.2931570577249145
8,champ,-1,9567,1,0,-433,0.28582813128179163
8,child,0,9580,1,0,-420,0.28582813128179163
8,child,1,-572,0,0,-572,0.28582813128179163
8,child,2,1341,0,1,-659,0.28582813128179163
8,child,3,9551,1,0,-449,0.28582813128179163
8,child,4,9643,1,0,-357,0.28582813128179163
8,child,5,-472,0,0,-472,0.28582813128179163
8,child,6,9655,1,0,-345,0.28582813128179163
8,child,7,9575,1,0,-425,0.28582813128179163
8,child,8,1566,0,1,-434,0.28582813128179163
8,child,9,9603,1,0,-397,0.28582813128179163
8,child,10,-647,0,0,-647,0.28582813128179163
8,child,11,-710,0,0,-710,0.28582813128179163
8,child,12,-720,0,0,-720,0.28582813128179163
8,child,13,9507,1,0,-493,0.28582813128179163
8,child,14,-614,0,0,-614,0.28582813128179163
8,child,15,9467,1,0,-533,0.28582813128179163
8,child,16,9494,1,0,-506,0.28582813128179163
8,child,17,19569,2,0,-431,0.28582813128179163
8,child,18,-535,0,0,-535,0.28582813128179163
8,child,19,9416,1,0,-584,0.28582813128179163
8,child,20,-601,0,0,-601,0.28582813128179163
8,child,21,9520,1,0,-480,0.28582813128179163
8,child,22,-638,0,0,-638,0.28582813128179163
8,child,23,9430,1,0,-570,0.28582813128179163
9,champ,-1,9714,1,0,-286,0.27868242799974685
9,child,0,19570,2,0,-430,0.27868242799974685
9,child,1,9303,1,0,-697,0.27868242799974685
9,child,2,11545,1,1,-455,0.27868242799974685
9,child,3,-672,0,0,-672,0.27868242799974685
9,child,4,19661,2,0,-339,0.27868242799974685
9,child,5,1510,0,1,-490,0.27868242799974685
9,child,6,9458,1,0,-542,0.27868242799974685
9,child,7,19509,2,0,-491,0.27868242799974685
9,child,8,9589,1,0,-411,0.27868242799974685
9,child,9,-608,0,0,-608,0.27868242799974685
9,child,10,-574,0,0,-574,0.27868242799974685
9,child,11,-588,0,0,-588,0.27868242799974685
9,child,12,-483,0,0,-483,0.27868242799974685
9,child,13,-538,0,0,-538,0.27868242799974685
9,child,14,-604,0,0,-604,0.27868242799974685
9,child,15,9603,1,0,-397,0.27868242799974685
9,child,16,-623,0,0,-623,0.27868242799974685
9,child,17,9562,1,0,-438,0.27868242799974685
9,child,18,-600,0,0,-600,0.27868242799974685
9,child,19,9550,1,0,-450,0.27868242799974685
9,child,20,9609,1,0,-391,0.27868242799974685
9,child,21,29646,3,0,-354,0.27868242799974685
9,child,22,-649,0,0,-649,0.27868242799974685
9,child,23,9544,1,0,-456,0.27868242799974685
10,champ,-1,9635,1,0,-365,0.27171536729975315
10,child,0,19533,2,0,-467,0.27171536729975315
10,child,1,29682,3,0,-318,0.27171536729975315
10,child,2,-651,0,0,-651,0.27171536729975315
10,child,3,19579,2,0,-421,0.27171536729975315
10,child,4,-580,0,0,-580,0.27171536729975315
10,child,5,9514,1,0,-486,0.27171536729975315
10,child,6,-533,0,0,-533,0.27171536729975315
10,child,7,-463,0,0,-463,0.27171536729975315
10,child,8,29703,3,0,-297,0.27171536729975315
10,child,9,9593,1,0,-407,0.27171536729975315
10,child,10,11571,1,1,-429,0.27171536729975315
10,child,11,29595,3,0,-405,0.27171536729975315
10,child,12,-518,0,0,-518,0.27171536729975315
10,child,13,-503,0,0,-503,0.27171536729975315
10,child,14,9450,1,0,-550,0.27171536729975315
10,child,15,-611,0,0,-611,0.27171536729975315
10,child,16,-595,0,0,-595,0.27171536729975315
10,child,17,19639,2,0,-361,0.27171536729975315
10,child,18,9519,1,0,-481,0.27171536729975315
10,child,19,19688,2,0,-312,0.27171536729975315
10,child,20,9579,1,0,-421,0.27171536729975315
10,child,21,9447,1,0,-553,0.27171536729975315
10,child,22,-477,0,0,-477,0.27171536729975315
10,child,23,9462,1,0,-538,0.27171536729975315
11,champ,-1,29717,3,0,-283,0.2649224831172593
11,child,0,19784,2,0,-216,0.2649224831172593
11,child,1,19483,2,0,-517,0.2649224831172593
11,child,2,19721,2,0,-279,0.2649224831172593
11,child,3,9552,1,0,-448,0.2649224831172593
11,child,4,-502,0,0,-502,0.2649224831172593
11,child,5,21626,2,1,-374,0.2649224831172593
11,child,6,9463,1,0,-537,0.2649224831172593
11,child,7,29732,3,0,-268,0.2649224831172593
11,child,8,-665,0,0,-665,0.2649224831172593
11,child,9,9386,1,0,-614,0.2649224831172593
11,child,10,9602,1,0,-398,0.2649224831172593
11,child,11,21625,2,1,-375,0.2649224831172593
11,child,12,9386,1,0,-614,0.2649224831172593
11,child,13,-443,0,0,-443,0.2649224831172593
11,child,14,9533,1,0,-467,0.2649224831172593
11,child,15,-486,0,0,-486,0.2649224831172593
11,child,16,39503,4,0,-497,0.2649224831172593
11,child,17,-407,0,0,-407,0.2649224831172593
11,child,18,-566,0,0,-566,0.2649224831172593
11,child,19,19529,2,0,-471,0.2649224831172593
11,child,20,29662,3,0,-338,0.2649224831172593
11,child,21,11591,1,1,-409,0.2649224831172593
11,child,22,19686,2,0,-314,0.2649224831172593
11,child,23,9535,1,0,-465,0.2649224831172593
12,champ,-1,9450,1,0,-550,0.2582994210393278
12,child,0,9520,1,0,-480,0.2582994210393278
12,child,1,-464,0,0,-464,0.2582994210393278
12,child,2,9453,1,0,-547,0.2582994210393278
12,child,3,9540,1,0,-460,0.2582994210393278
12,child,4,-571,0,0,-571,0.2582994210393278
12,child,5,9682,1,0,-318,0.2582994210393278
12,child,6,-527,0,0,-527,0.2582994210393278
12,child,7,9520,1,0,-480,0.2582994210393278
12,child,8,-477,0,0,-477,0.2582994210393278
