generation,kind,index,fitness,wins,ties,margin,sigma
3,child,6,-1095,0,0,-1095,0.27380189999999993
3,child,7,-896,0,0,-896,0.27380189999999993
3,child,8,-1206,0,0,-1206,0.27380189999999993
3,child,9,-1312,0,0,-1312,0.27380189999999993
3,child,10,-1731,0,0,-1731,0.27380189999999993
3,child,11,-1007,0,0,-1007,0.27380189999999993
3,child,12,-745,0,0,-745,0.27380189999999993
3,child,13,-1285,0,0,-1285,0.27380189999999993
3,child,14,9607,1,0,-393,0.27380189999999993
3,child,15,9239,1,0,-761,0.27380189999999993
3,child,16,-755,0,0,-755,0.27380189999999993
3,child,17,-653,0,0,-653,0.27380189999999993
3,child,18,-1410,0,0,-1410,0.27380189999999993
3,child,19,-915,0,0,-915,0.27380189999999993
3,child,20,19667,2,0,-333,0.27380189999999993
3,child,21,9108,1,0,-892,0.27380189999999993
3,child,22,-627,0,0,-627,0.27380189999999993
3,child,23,-1066,0,0,-1066,0.27380189999999993
4,champion,-1,9454,1,0,-546,0.26558784299999993
4,child,0,-821,0,0,-821,0.26558784299999993
4,child,1,-1175,0,0,-1175,0.26558784299999993
4,child,2,-700,0,0,-700,0.26558784299999993
4,child,3,9484,1,0,-516,0.26558784299999993
4,child,4,9086,1,0,-914,0.26558784299999993
4,child,5,-755,0,0,-755,0.26558784299999993
4,child,6,-790,0,0,-790,0.26558784299999993
4,child,7,9549,1,0,-451,0.26558784299999993
4,child,8,-1028,0,0,-1028,0.26558784299999993
4,child,9,-961,0,0,-961,0.26558784299999993
4,child,10,-534,0,0,-534,0.26558784299999993
4,child,11,9241,1,0,-759,0.26558784299999993
4,child,12,-827,0,0,-827,0.26558784299999993
4,child,13,19568,2,0,-432,0.26558784299999993
4,child,14,9521,1,0,-479,0.26558784299999993
4,child,15,-1026,0,0,-1026,0.26558784299999993
4,child,16,-1091,0,0,-1091,0.26558784299999993
4,child,17,-782,0,0,-782,0.26558784299999993
4,child,18,-752,0,0,-752,0.26558784299999993
4,child,19,-626,0,0,-626,0.26558784299999993
4,child,20,-894,0,0,-894,0.26558784299999993
4,child,21,-720,0,0,-720,0.26558784299999993
4,child,22,9422,1,0,-578,0.26558784299999993
4,child,23,-746,0,0,-746,0.26558784299999993
5,champion,-1,9305,1,0,-695,0.25762020770999994
5,child,0,-1263,0,0,-1263,0.25762020770999994
5,child,1,9350,1,0,-650,0.25762020770999994
5,child,2,-543,0,0,-543,0.25762020770999994
5,child,3,-1032,0,0,-1032,0.25762020770999994
5,child,4,-720,0,0,-720,0.25762020770999994
5,child,5,-1257,0,0,-1257,0.25762020770999994
5,child,6,9501,1,0,-499,0.25762020770999994
5,child,7,-850,0,0,-850,0.25762020770999994
5,child,8,-1183,0,0,-1183,0.25762020770999994
5,child,9,19701,2,0,-299,0.25762020770999994
5,child,10,9419,1,0,-581,0.25762020770999994
5,child,11,19551,2,0,-449,0.25762020770999994
5,child,12,-1031,0,0,-1031,0.25762020770999994
5,child,13,-862,0,0,-862,0.25762020770999994
5,child,14,-872,0,0,-872,0.25762020770999994
5,child,15,-820,0,0,-820,0.25762020770999994
5,child,16,-728,0,0,-728,0.25762020770999994
5,child,17,-1150,0,0,-1150,0.25762020770999994
5,child,18,-676,0,0,-676,0.25762020770999994
5,child,19,9522,1,0,-478,0.25762020770999994
5,child,20,-631,0,0,-631,0.25762020770999994
5,child,21,-1160,0,0,-1160,0.25762020770999994
5,child,22,9362,1,0,-638,0.25762020770999994
5,child,23,9317,1,0,-683,0.25762020770999994
6,champion,-1,29683,3,0,-317,0.24989160147869993
6,child,0,-747,0,0,-747,0.24989160147869993
6,child,1,9320,1,0,-680,0.24989160147869993
6,child,2,-798,0,0,-798,0.24989160147869993
6,child,3,19420,2,0,-580,0.24989160147869993
6,child,4,-881,0,0,-881,0.24989160147869993
6,child,5,9467,1,0,-533,0.24989160147869993
6,child,6,-1024,0,0,-1024,0.24989160147869993
6,child,7,19447,2,0,-553,0.24989160147869993
6,child,8,-675,0,0,-675,0.24989160147869993
6,child,9,29692,3,0,-308,0.24989160147869993
6,child,10,29883,3,0,-117,0.24989160147869993
6,child,11,9654,1,0,-346,0.24989160147869993
6,child,12,9030,1,0,-970,0.24989160147869993
6,child,13,-608,0,0,-608,0.24989160147869993
6,child,14,9583,1,0,-417,0.24989160147869993
6,child,15,-783,0,0,-783,0.24989160147869993
6,child,16,-763,0,0,-763,0.24989160147869993
6,child,17,-777,0,0,-777,0.24989160147869993
6,child,18,-436,0,0,-436,0.24989160147869993
6,child,19,29558,3,0,-442,0.24989160147869993
6,child,20,19591,2,0,-409,0.24989160147869993
6,child,21,19430,2,0,-570,0.24989160147869993
6,child,22,19448,2,0,-552,0.24989160147869993
6,child,23,-1075,0,0,-1075,0.24989160147869993
7,champion,-1,19561,2,0,-439,0.24239485343433892
